NFE
SMCI
MRNA
CE
PBF
INTC
CPRI
COTY
DLTR
MDB
STLA
AMD
CLF
XRAY
AAP
AEO
EL
DG
LW
WBA
STM
DINO
DXCM
NE
PAGS
W
ON
WSC
SIRI
APA
XP
ANF
AMTM
ALB
MUR
PTEN
ILMN
DOW
NVO
BF.B
HUN
QRVO
TGT
FMC
MCHP
LYFT
BCE
ETSY
AES
ELAN
AVTR
SWKS
CZR
M
ALIT
HAL
NXT
FRO
LBRT
CVE
NUE
BEN
BBWI
VALE
AMAT
PBR.A
ENTG
DAR
STZ
GFS
MGM
DELL
CX
DVN
VSH
X
CNC
MRK
BA
LYB
LEN
BHC
FANG
EW
MLCO
PBR
OVV
OXY
MPC
BAH
UA
XYZ
AKAM
TTD
CNQ
LI
MOS
VTRS
UPS
F
LRCX
PR
NKE
GT
COP
TTEK
CSX
ABNB
ADBE
EIX
UAA
ITUB
SLB
EXAS
WEN
DHR
DECK
LKQ
BALL
WU
JBLU
DNB
HPE
LUV
BAX
UMC
SNAP
KNX
APTV
WDC
OGN
PSX
HOLX
PSTG
BHP
NOV
DHI
FSLR
VLO
MRVL
HRL
DDOG
NXPI
AAL
NVST
CP
IPG
BP
CMCSA
LVS
ACN
CVS
WYNN
TU
NWL
ARM
ASX
EQNR
CSGP
FTV
COIN
ADM
ROST
KHC
CG
GSK
ZTS
CRM
CMG
GEHC
STX
EC
BWA
CI
OMC
DKNG
IR
CF
FCX
MU
MNST
PEP
MDLZ
CHX
WDAY
PCAR
QCOM
SNOW
DIS
ETN
NU
HSY
PCG
PHM
BIDU
ALLY
UBER
CNM
SYY
CPB
JNPR
RIVN
MTCH
SKX
NTR
MSFT
CAG
SRE
RIO
VIPS
UWMC
CPRT
FLR
IVZ
TD
PFE
UNP
PINS
CRGY
ZTO
TECK
GIS
CTRA
FNB
NCLH
HD
LOW
CCJ
HPQ
LIN
CRWD
TER
BBY
INFY
FE
FIS
PENN
XOM
OKTA
SU
USB
EA
ES
VOD
CAT
PDD
SW
BUD
COHR
KEY
SGI
UNH
JNJ
OPCH
FLG
ACI
SHEL
GNW
GPK
CVX
IBN
HDB
HON
OSCR
FAST
NWSA
EOG
RRC
EMR
MAT
CTSH
HBI
NTNX
OWL
AIG
VLY
OTIS
SCHW
ADT
AEG
BGC
MCD
MDT
PG
DD
DBX
FITB
HBAN
TXN
AMCR
CL
RPRX
CTVA
TFC
CMA
ARCC
DAN
LLY
RF
TSCO
FLEX
APH
CAH
AA
AMZN
BMY
ZM
ED
ABT
KDP
TSN
ARMK
TEVA
OKE
VZ
UBS
ET
MET
PARA
CNH
D
PAA
MA
BX
SBUX
BAC
GOLD
EXC
ANET
ADI
KMB
CEG
CARR
EXE
AMGN
ABBV
AZN
CRH
GM
VRT
CART
ENB
KVUE
KKR
EPD
GAP
TEAM
VFC
KO
MUFG
CNP
CPNG
CMS
PYPL
YUMC
UL
PEG
APO
ICE
MFC
BRK.B
FTI
ROKU
TSM
C
V
DUK
CFG
TJX
SNY
AEP
AXP
COST
BN
RKT
USFD
STT
META
WFC
EQT
NVDA
HLN
AR
TRP
FHN
DAL
COF
PPL
ONB
JPM
KR
CCL
MT
LYV
NDAQ
CIEN
GTES
NEM
PANW
CSCO
RHHBY
NEE
GEN
WEC
WBD
GOOGL
JCI
GOOG
AFL
SYF
LBTYA
SO
DIDIY
IBM
Z
BBVA
GFI
UGI
DASH
CRBG
SHOP
ORCL
TOST
SONY
MS
AFRM
EBAY
XEL
BTI
MO
GLW
TME
RBLX
BKR
PTON
JWN
FTNT
AVGO
AAPL
SLM
RTX
AU
NOK
NRG
NI
PGR
GS
CNK
LNG
ING
FI
ONON
IP
KMI
BSX
TCOM
NFLX
FYBR
GE
WMT
TSLA
WMB
DOCU
EQH
K
BK
ERIC
ETR
GME
TMUS
T
SAN
TPR
GILD
KD
ALK
PM
VIK
RCL
HMY
SOFI
EXEL
JD
DB
AS
BCS
TWLO
PAAS
HWM
YPF
AEM
CLS
NWG
VST
ZIM
UAL
MMM
BEKE
CHWY
BABA
PRMB
FOXA
TCEHY
SPOT
KGC
RYCEY
COMP
SE
FNMAS
CVNA
BILI
GEV
XPEV
HOOD
ALHC
LUMN
PLTR
APP
FNMA
