JNVR
CMRX
MVST
NUTX
GRRR
UAMY
FNMA
RNMBY
ROOT
TMC
NAK
CHRO
MBOT
ORLA
FNA
BULL
PLTR
GH
VSTM
LRN
SUPV
ESLT
SRAD
FUBO
SMNEY
ATEC
HRTG
SSRM
AURA33
SGHC
TATT
BBAR
COGN3
HEES
THLLY
MRFG3
NGVC
CRK
VRNA
GRPN
EAT
XIACY
WGS
XPEV
UTI
NB
TGI
ICAD
TGTX
ALHC
GRND
TTEN3
ADPT
ASM
AKBA
RDUS
HMY
SPOT
YALA
PLMR
PLYA
MRX
PDCO
IAG
VEON
WNS
AEM
AU
PRA
AGI
PCRX
YDUQ3
SDGR
KGC
EOSE
ATGE
NEXT
MP
HNRG
DRD
SAND
NFLX34
MRCY
ASPI
BJ
SFM
PRNR3
GFI
TDS
TTWO
EQT
MCK
NTDOY
SNEX
BAESY
GENI
PM
PEN
EZPW
XERS
FSM
SAN
FNV
BBVA
UGI
DESP
DB
PPTA
VRSN
SONY
ADMA
NFLX
KTOS
OKTA
HURN
USAR
WPM
LB
EMBR3
RYCEY
JRONY
CORT
PAYC
TFPM
SLNO
LOPE
OSIS
NWG
TOTS3
JBSS3
BECN
LAVV3
ASND
BBIO
UNCRY
SKE
CHEF
CHGCY
PRVA
LNG
ERJ
BBSE3
BOW
NFG
GGAL
CQP
DRS
EQX
KR
LKNCY
DNOW
T
HCI
EXEL
BYDDY
SCBFY
MHVIY
ETR
NGD
RGLD
BTI
CNP
WMK
PRMB
CSGS
SEZL
LTH
TXNM
EXE
CIB
SE
DRI
COR
LAUR
RYTM
CRWD
SR
PAAS
GILD
CAH
CURY3
VLID3
BMOB3
RBA
ALIZY
LBLCF
SKWD
CHWY
TIGO
DIRR3
LQDA
PPC
SPNT
TTVSY
CASY
DTEGY
OLLI
UNM
RSG
SGI
TMUS
IPI
ADRNY
BSAC
EVER
ESE
HSBC
IBDRY
LYG
SBSP3
HDB
NTES
VIRT
MO
PUK
SLCE3
CPFE3
CYRE3
DLMAF
TKO
GFL
EXC
RPRX
SII
OR
TEND3
CME
AIBGY
HWM
WMT
ORLY
ARMN
ACI
COOP
HESAY
ANIP
ISNPY
BRBR
BCS
IDA
ABEV3
PSSA3
KT
AXS
CPLE3
B3SA3
SMMT
CCEP
NOK
SBS
CXSE3
BERK34
AM
WMB
AZO
KLG
AGX
CPLE6
JHSF3
CVS
EVRG
AJG
PAC
HALO
NI
SMPL
WRB
ROL
COST
BNPQY
AEE
BLX
USM
IBN
ADT
CWST
BRK.A
MT
OGE
CPK
CPRT
ABT
XEL
BRK.B
KOF
MWA
GL
LNSTY
EZTC3
SUN
SRNA3
AVA
WHGLY
PPL
FDP
ITUB3
DGX
NEOE3
ELET3
TIMS3
VRSK
ATO
X
MNST
NOMD
BRO
LOAR
WEC
COKE
NSRGY
RELX
CASH3
CRVL
ENB
NRDBY
KVUE
ARLP
PNW
DPZ
NTR
TJX
TRI
WM
EGO
ITUB4
WCN
STBP3
BR
FTS
BBAS3
ELET6
ING
BBAS3F
NGG
TD
EHC
CEAB3
CWEN.A
GEL
AEP
NEU
YUM
CPRX
CWEN
ITSA4
STN
ZS
NWN
FCFS
MUSA
BVN
VULC3
ED
NJR
NIC
BABA
PGR
AWK
AIQUY
IDR
VSEC
FAST
TCEHY
KO
THG
TAP
CHT
TRP
L
NWE
ORI
OGS
CHKP
ONC
EQTL3
ATRO
DTE
ULS
SAPR4
MELI34
OPCH
AACT
LZAGY
TAK
AGS
EVRI
CBOE
ESGR
AMBP3
CMS
HRB
NOC
RTX
AIG
TSN
UL
GWRE
KNSL
K
MELI
HLN
EBAY
WTRG
DUK
FYBR
VIVT3
TW
VZ
AG
PORT3
WSO
PSMT
PG
BUD
RDOR3
RYAN
AGRO
TKOMY
POST
SO
RHHBY
ROP
PROSY
BTG
KALV
MCD
KMB
BAP
FNF
SWX
GOLD
VRTX
PTGX
ERIC
BKH
ALC
KDP
NEM
MAG
ORVR3
HIG
CTAS
NTB
JNJ
APPS
MLYS
ACT
TRV
NVS
HEI.A
TDG
CMIN3
CB
CHE
LILY34
LIN
UBER
OTIS
AFL
PLPL3
SPRY
LLY
IDEXY
HWKN
INVA
INBR32
NVSEF
LNTH
HTHT
BWIN
SVM
TREE
YOU
