#MKT 10B VOL 1M
A
AA
AAPL
ABBV
ABEV
ABNB
ABT
ACGL
ACI
ACN
ADBE
ADI
ADM
ADP
ADSK
AEE
AEG
AEM
AEP
AER
AFL
AFRM
AIG
AKAM
ALAB
ALB
ALL
ALLY
AMAT
AMCR
AMD
AME
AMGN
AMH
AMT
AMX
AMZN
ANET
AON
AOS
APD
APH
APO
APP
APTV
ARCC
ARE
ARES
ARM
ASML
ASX
AU
AVGO
AVTR
AXP
AZN
BA
BABA
BAC
BALL
BAM
BAX
BBD
BBVA
BBY
BCE
BCS
BDX
BEKE
BEN
BF-B
BG
BHP
BIDU
BIIB
BJ
BK
BKR
BLDR
BMO
BMRN
BMY
BN
BNS
BP
BRK-B
BRO
BSX
BTI
BUD
BX
BXP
C
CAG
CAH
CARR
CART
CAT
CAVA
CB
CBRE
CCEP
CCI
CCJ
CCK
CCL
CDNS
CDW
CEG
CF
CFG
CG
CHD
CHRW
CHTR
CHWY
CI
CL
CLX
CM
CMCSA
CME
CMG
CMS
CNC
CNH
CNI
CNP
CNQ
COF
COHR
COIN
COO
COP
COR
COST
CP
CPB
CPNG
CPRT
CRBG
CRH
CRM
CRWD
CSCO
CSGP
CSX
CTAS
CTLT
CTRA
CTSH
CTVA
CUBE
CUK
CVE
CVNA
CVS
CVX
D
DAL
DASH
DAY
DB
DD
DDOG
DE
DECK
DELL
DFS
DG
DHI
DHR
DIDIY
DIS
DKNG
DLR
DLTR
DOC
DOCU
DOW
DRI
DT
DTE
DUK
DUO
DVN
DXCM
EA
EBAY
EC
ED
EDR
EIX
EL
ELS
ELV
EMR
ENB
ENTG
EOG
EPD
EQH
EQNR
EQR
EQT
ERIC
ES
ET
ETN
ETR
EVRG
EW
EXC
EXE
EXPD
EXPE
F
FANG
FAST
FCX
FDX
FE
FERG
FHN
FI
FIS
FITB
FLEX
FLUT
FND
FNF
FOXA
FSLR
FTAI
FTI
FTNT
FTV
FWONK
GD
GDDY
GE
GEHC
GEN
GEV
GFI
GFL
GFS
GILD
GIS
GLPI
GLW
GM
GME
GOLD
GOOG
GOOGL
GPC
GPN
GRAB
GS
GSK
HAL
HBAN
HCA
HD
HDB
HES
HIG
HLN
HLT
HOLX
HON
HOOD
HPE
HPQ
HRL
HSBC
HST
HSY
HTHT
HUM
HWM
IBM
IBN
ICE
IFF
ILMN
INCY
INFY
ING
INSM
INTC
INTU
INVH
IOT
IP
IPG
IQV
IR
IRM
ISRG
ITUB
JBL
JCI
JD
JEF
JNJ
JNPR
JPM
K
KDP
KEY
KEYS
KGC
KHC
KIM
KKR
KLAC
KMB
KMI
KMX
KO
KR
KVUE
LBRDK
LEN
LI
LIN
LLY
LMT
LNG
LNT
LOW
LPLA
LRCX
LULU
LUV
LVS
LW
LYB
LYG
LYV
MA
MAR
MAS
MBLY
MCD
MCHP
MCK
MDB
MDLZ
MDT
MET
META
MFC
MFG
MGA
MGM
MKC
MMC
MMM
MNST
MO
MPC
MPLX
MRK
MRNA
MRO
MRVL
MS
MSFT
MSTR
MT
MTB
MU
MUFG
NCLH
NDAQ
NEE
NEM
NET
NFLX
NI
NKE
NLY
NOK
NOW
NRG
NSC
NTAP
NTES
NTNX
NTR
NTRA
NTRS
NU
NUE
NVDA
NVO
NVS
NVT
NWG
NWSA
NXPI
O
ODFL
OHI
OKE
OKTA
OMC
ON
ONON
ORCL
OTIS
OVV
OWL
OXY
PAA
PANW
PAYX
PBA
PBR
PBR-A
PCAR
PCG
PCOR
PCVX
PDD
PEG
PEP
PFE
PFG
PFGC
PG
PGR
PHM
PINS
PLD
PLTR
PM
PNC
PNR
PNW
PPC
PPG
PPL
PR
PRU
PSTG
PSX
PUK
PYPL
QCOM
QSR
RBLX
RCL
RDDT
REG
RF
RHHBY
RIO
RIVN
RJF
RKT
RLLCF
RMD
ROL
ROST
RPRX
RSG
RTX
RY
RYAAY
RYCEY
SAN
SBS
SBUX
SCCO
SCHW
SE
SFM
SHEL
SHOP
SHW
SLB
SMCI
SMFG
SMMT
SN
SNAP
SNOW
SNPS
SNY
SO
SOFI
SOLV
SONY
SPG
SPGI
SPOT
SQ
SQM
SRE
SSNC
STLA
STLD
STM
STT
STX
STZ
SU
SUZ
SW
SWK
SWKS
SYF
SYK
SYY
T
TAK
TAP
TCEHY
TCOM
TD
TEAM
TECK
TEL
TER
TEVA
TFC
TGT
THC
TJX
TLN
TME
TMO
TMUS
TOL
TOST
TPR
TRGP
TRMB
TROW
TRP
TRU
TRV
TS
TSLA
TSM
TSN
TT
TTD
TTE
TTEK
TTWO
TU
TWLO
TXN
TXT
UAL
UBER
UBS
UDR
UL
ULTA
UMC
UNH
UNM
UNP
UPS
USB
USFD
V
VALE
VICI
VIK
VLO
VLTO
VOD
VRT
VRTX
VST
VTR
VTRS
VZ
WAB
WBD
WBS
WDAY
WDC
WEC
WELL
WES
WFC
WIT
WM
WMB
WMG
WMT
WPC
WPM
WRB
WSM
WTRG
WY
XEL
XOM
XPEV
XPO
XYL
YPF
YUM
YUMC
Z
ZBH
ZM
ZS
ZTO
ZTS
