##price >5, revenue > 2B, avg vol > 1M
FNMA
FMCC
DAN
NBIS
SMCI
BABA
PLTR
XPEV
PDCO
HOOD
TPR
NTDOY
ULCC
OPCH
URBN
BBVA
SATS
APP
VFC
ALK
PBI
SAN
AVGO
COMP
SUPV
UGI
ROKU
LKNCY
SONY
CLS
TCEHY
PINS
LRN
RIVN
SPOT
PDD
EC
TME
LTH
RBLX
RPRX
DB
JBL
BILI
LI
APTV
BBWI
PSTG
BA
NXT
AU
SLM
CIEN
HSBC
GILD
FOXA
WBA
META
QFIN
CART
GFI
MNSO
JD
OKTA
VSH
FOX
CX
AS
PRMB
KLAC
PROSY
DXCM
LRCX
NTES
BCS
CAKE
SSNC
NFE
FNMAS
EAT
PM
IBM
KD
DQ
RHHBY
FTNT
DRI
ABBV
G
BP
SGI
C
FMCKJ
DASH
T
LLY
AR
ABT
PAA
NWG
BIDU
AEM
MAT
LEVI
WMG
DLTR
LULU
FWONK
BSX
STM
PUK
MMM
IBKR
SNY
BAYRY
ING
CNM
JBLU
CEG
TTWO
V
PAGP
CRWD
AZN
ADI
NTR
UBER
FLG
MFG
DE
EBAY
COMM
CCEP
AAP
TEAM
TMUS
RYCEY
NFLX
QRVO
SBUX
NSRGY
MT
TWLO
GE
ETR
DFS
GEHC
CSCO
VIPS
KO
CVS
ONB
WSM
KR
KLG
YUM
BK
ASML
ASX
MRVL
MPLX
TER
ASO
EXC
HWM
EQH
APG
JKS
RITM
ARM
DKS
ABNB
STLA
CME
NLY
COF
RRC
EBR
AMZN
HAS
CNH
NRG
SE
CVI
VIK
DIDIY
HMY
GOOG
BJ
AGNC
JPM
LNC
GMAB
GOOGL
GSK
SMFG
EQT
TDOC
SPR
CPRI
ECL
SHOP
KGC
LYV
SGRY
MA
EL
BEKE
CNP
ACI
WES
GLW
AAPL
ISRG
CTSH
COST
AJG
UWMC
AEP
MUFG
AAL
WELL
FI
GT
TD
QCOM
BMRN
JWN
ARCC
LKQ
KT
VRTX
ZTO
EXPE
DTE
RYAAY
PAAS
MDT
PAGS
ERJ
WMT
ICE
KDP
PLD
EXEL
UBS
MCD
GGAL
TAK
NI
WBD
ALC
GS
EVRG
VEEV
AEE
CDW
TCOM
NVS
DKNG
SPGI
MTCH
PFE
HSIC
HLN
NEM
EW
OLLI
NXPI
AMGN
EXE
JNJ
GTES
EDR
WFC
BGS
CRBG
NTRS
AER
FTV
CTVA
TEL
DOCU
OGN
CROX
PARA
TMO
PENN
WDC
KEYS
DG
HTHT
BTSG
FHN
HMC
CTRA
BERY
CMS
HLT
CAH
SN
EPD
ROL
WEC
SQM
CP
PAYX
CPNG
BBY
TSM
USFD
OGE
TSCO
FYBR
ACHC
SKX
TTE
A
FIVE
TS
STT
INCY
RIO
WM
BAX
VTR
UNP
BKR
APA
PBR
MKC
BN
TXN
INTC
RTX
MMC
TGT
BTI
UAL
K
VALE
AFRM
KMB
JCI
ADP
ACN
SNOW
KMX
AON
TU
HE
ATSG
SHEL
ET
BRK.B
ZM
JNPR
ALLY
PBR.A
PPC
AIG
CBRE
GFS
CSIQ
XYL
LIN
ES
BRO
GFL
XRAY
PGR
TJX
AXP
BDX
HES
GOLD
NKE
ARCO
STX
YUMC
SPG
NDAQ
VZ
CRH
TRMB
BKD
FLUT
EYE
MDLZ
MLCO
PZZA
FE
DUK
KHC
CSGP
SO
TAP
STWD
ATI
YPF
SCHW
SWK
PPL
ED
MOS
BHP
MSFT
VSAT
ENTG
WSC
PTEN
TSLA
O
WYNN
IVZ
LNG
FLEX
ARES
LNT
BUD
DD
GPC
RCL
EOG
ERIC
OTIS
SNAP
WRB
HSY
AMAT
CRI
CHWY
OZK
PSX
MNST
ITUB
COR
AMCR
SFM
TEVA
SYK
NTNX
MAR
D
UNM
MO
WU
ETSY
MS
M
PG
XEL
HLF
OXY
TFC
PNW
PANW
CVX
ADT
AMX
ANET
NVST
HRL
DVN
IQV
W
HPE
SYY
DBX
LBRT
RKT
BAC
NWSA
MU
FTI
SJM
MPC
GEV
ZBH
WY
AEG
NBIX
UL
HCA
SIRI
TGNA
VICI
ENB
TRGP
KVUE
WMB
SOFI
COLD
EXPD
UMC
CNC
DAR
VLO
SU
VOD
BMY
CLF
ELV
AWK
DIS
CFG
PEP
EQNR
CNI
ORI
CCK
EQR
IEP
WAL
MGM
MET
ST
EMN
AME
CMA
MAS
RY
WDAY
GME
BEN
CRGY
EMR
ICLR
NMRK
CPRT
IGT
DAL
ZS
SLB
CG
GIS
INFY
GMED
CIVI
CHX
SYF
CAG
AMT
TSN
IP
CL
PFGC
X
EFX
SW
XP
INVH
APD
CZR
HDB
PPG
GPK
CB
RDY
CHTR
OVV
LUV
HD
PRGO
IBN
VLY
HIG
LYB
CHD
AMRX
NSC
EXR
CHRW
HON
MFC
POR
WAB
MCHP
TRU
ESI
IPG
NEE
HAFN
RJF
KMI
