# 40B MKt 18 Roic Growth
APP
IESC
NVDA
THC
STRL
MMYT
EME
FICO
FIX
ALSN
CORT
HLNE
ASCCY
AAON
ANF
DOCS
GDDY
TSM
PJT
APO
ATEYY
NU
NFLX
VIST
FTNT
AWI
QFIN
TXRH
TT
ANET
GRMN
CNS
META
UTHR
DECK
MONOY
EXEL
APO/PA
PGR
NVMI
CHWY
CTAS
RMD
FTDR
BRBR
COST
BKNG
LII
PODD
WING
PANW
PHM
GWW
BMI
SHW
FN
PM
SEIC
ADSK
ERIE
CMG
MCO
SCCO
PCTY
HALO
G
FAST
TJX
UBER
ADP
MA
BOX
GOOGL
TSLA
MELI
GOOG
RLI
INFY
QCOM
KNSL
IT
ROL
DSCSY
PAYC
DCI
MANH
EXPO
PAYX
V
ORLY
CHKP
RACE
RNR
TROW
LMT
AMAT
CL
VRSK
LOPE
MEDP
OTIS
ACGL
TER
MSCI
AZO
MKTX
CROX
MSFT
ROST
DPZ
ACN
JKHY
NOG
NVO
BYDDY
CIG
SNPS
ZTS
DBX
FIZZ
GNTX
PDD
IDXX
LOGI
TOELY
ADBE
WFRD
QLYS
LULU
XP
MNSO
SMCI
