#MKT above 10B Vol 1m Rev Q yoy > 0
AA
AAPL
ABBV
ABNB
ABT
ACGL
ACI
ACN
ADBE
ADP
ADSK
AEE
AEM
AEP
AER
AFRM
AKAM
ALAB
ALL
ALLY
AMAT
AMD
AME
AMGN
AMH
AMZN
ANET
AON
APH
APO
APP
ARCC
ARE
ARES
ARM
ASML
ASX
AU
AVGO
AXP
AZN
BABA
BAC
BAM
BBVA
BCS
BDX
BEKE
BEN
BJ
BK
BKR
BMO
BMRN
BMY
BNS
BRO
BSX
BXP
C
CARR
CART
CAVA
CB
CBRE
CCJ
CCK
CCL
CDNS
CF
CG
CHD
CHRW
CHTR
CHWY
CI
CL
CLX
CM
CMCSA
CME
CMG
CMS
CNC
CNI
COF
COHR
COIN
COO
COR
COST
CP
CPB
CPNG
CPRT
CRH
CRM
CRWD
CSGP
CSX
CTAS
CTLT
CTSH
CUBE
CUK
CVNA
CVS
D
DAL
DASH
DAY
DB
DD
DDOG
DECK
DELL
DFS
DG
DIS
DKNG
DLR
DLTR
DOC
DOCU
DOW
DRI
DT
DUK
DXCM
EA
EBAY
ED
EDR
EIX
ELV
EMR
ENB
EPD
EQR
EQT
ES
ET
ETN
EVRG
EXC
EXPD
EXPE
F
FANG
FAST
FCX
FE
FERG
FHN
FI
FIS
FITB
FND
FNF
FOXA
FSLR
FTAI
FTI
FTNT
FTV
FWONK
GD
GDDY
GEHC
GEN
GEV
GFL
GILD
GLPI
GLW
GM
GOLD
GOOG
GOOGL
GPC
GPN
GRAB
GS
GSK
HBAN
HCA
HD
HDB
HES
HIG
HLT
HOLX
HON
HOOD
HPE
HPQ
HSBC
HST
HTHT
HUM
HWM
IBM
IBN
ICE
IFF
INCY
INFY
ING
INSM
INTU
IOT
IP
IQV
IR
IRM
ISRG
JD
JEF
JNJ
JPM
KDP
KGC
KIM
KKR
KLAC
KR
LBRDK
LEN
LI
LIN
LLY
LMT
LNT
LPLA
LRCX
LULU
LUV
LYG
MA
MAR
MAS
MCD
MCK
MDB
MDLZ
MDT
MET
META
MFC
MFG
MGM
MMC
MNST
MO
MPLX
MRK
MRNA
MS
MSFT
MTB
MU
MUFG
NCLH
NDAQ
NEM
NET
NFLX
NI
NOW
NSC
NTAP
NTNX
NTRA
NTRS
NU
NVDA
NVO
NVS
NWG
NWSA
O
OHI
OKE
OKTA
OMC
ONON
ORCL
OTIS
OWL
PAA
PANW
PAYX
PCG
PCOR
PDD
PEG
PFE
PFGC
PGR
PHM
PINS
PLD
PLTR
PM
PNC
PNW
PPC
PPL
PR
PRU
PSTG
PYPL
QCOM
QSR
RBLX
RCL
RDDT
REG
RJF
RKT
RMD
ROL
ROST
RPRX
RSG
RTX
RY
RYAAY
SBS
SCCO
SCHW
SE
SFM
SHOP
SHW
SLB
SMCI
SMFG
SN
SNAP
SNOW
SNPS
SO
SOFI
SOLV
SPG
SPGI
SPOT
SQ
SSNC
STT
STX
STZ
SU
SUZ
SW
SYF
SYK
SYY
TAK
TCEHY
TCOM
TD
TEAM
TEL
TER
TEVA
TGT
THC
TJX
TME
TMO
TMUS
TOL
TOST
TRGP
TROW
TRP
TRU
TRV
TSLA
TSM
TSN
TT
TTD
TTEK
TTWO
TU
TWLO
TXT
UAL
UBER
UBS
UDR
ULTA
UMC
UNH
UNM
UNP
UPS
USFD
V
VICI
VLTO
VRT
VRTX
VST
VTR
WAB
WBS
WDAY
WDC
WELL
WES
WFC
WM
WMB
WMT
WPM
WRB
WTRG
XPEV
XPO
XYL
YPF
YUM
YUMC
Z
ZBH
ZM
ZS
ZTO
ZTS
