ZTS
ZM
YUMC
WRB
WM
WES
WDAY
VST
VRT
VRSK
VLTO
VEEV
V
URI
UNM
UBER
TXRH
TTD
TT
TSM
TSLA
TRV
TROW
TJX
THC
TCEHY
SYK
SYF
SU
SN
SLF
SHW
SHOP
SFM
SEIC
SBS
ROST
ROL
RMD
RL
RCL
PYPL
PPC
PODD
PM
PLTR
PKG
PHM
PH
PGR
PAYX
PAYC
PANW
OTIS
ORCL
OMC
NVS
NVDA
NU
NTAP
NOW
NFLX
MSI
MPNGY
MPLX
MO
MMYT
MMC
MLI
META
MCO
MA
LPLA
LMT
LIN
LEN
ISRG
INFY
IBN
IBKR
HWM
HOLX
HIG
HCA
H
GRMN
GDDY
FTNT
FTI
FOXA
FOX
FFIV
FAST
EXPE
EXPD
EWBC
ETN
EPD
EPAM
ECL
DUOL
DRI
DOCU
DKS
DECK
DAL
CTSH
CTAS
CSX
CRH
COST
CMI
CME
CLX
CHWY
CHRW
CHKP
CF
CBOE
CB
CARR
BWXT
BRO
BLK
BKR
BJ
AXP
AXON
APP
APO
APH
ANET
AMZN
ALSN
ALLE
ADSK
ADP
ADBE
ACN
ACGL
ABT
